TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;7,41;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;8.840.533.965,20
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;7,41;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;8.840.533.965,20
SUZB3;41,91;2,67;4,66;1,10;0,32;31,42;20,52;22,96;5,21;11,94;6,73;1,42;1,07;1,75;-0,43;3,51;23,68;6,86;-0,36;0,29;0,71;0,30;10,47;;263.558.094,86;38,00;9,00;0,00;52.979.169.244,65
SYNE3;3,80;11,03;8,84;0,84;0,26;54,13;47,58;20,11;3,74;5,36;1,62;0,36;1,78;10,44;-0,29;1,27;9,47;2,92;6,66;0,31;0,35;0,15;-7,59;5,31;1.423.512,90;4,54;0,43;-0,10;580.048.891,00
TAEE11;39,16;8,36;8,60;1,70;0,58;54,77;57,40;33,52;5,02;8,78;3,75;1,27;2,88;6,19;-0,70;2,29;19,70;6,74;13,41;0,34;0,66;0,20;5,36;-7,07;77.517.592,86;23,10;4,55;-1,24;13.490.577.198,12
TAEE3;13,01;8,40;8,57;1,69;0,58;54,77;57,40;33,52;5,01;8,78;3,75;1,27;2,87;6,17;-0,69;2,29;19,70;6,74;13,41;0,34;0,66;0,20;5,36;-7,07;1.671.950,10;7,70;1,52;-1,24;13.490.577.198,12
TAEE4;13,21;8,28;8,71;1,72;0,59;54,77;57,40;33,52;5,08;8,78;3,75;1,27;2,92;6,27;-0,70;2,29;19,70;6,74;13,41;0,34;0,66;0,20;5,36;-7,07;2.875.577,05;7,70;1,52;-1,26;13.490.577.198,12
TASA3;5,05;0,06;-18,72;0,59;0,28;33,32;1,45;-2,56;33,08;56,99;25,44;0,46;0,48;1,45;-0,66;1,53;-3,16;-1,52;-1,45;0,48;0,52;0,59;-3,77;;52.185,05;8,52;-0,27;0,13;670.817.307,01
TASA4;4,68;0,07;-17,35;0,55;0,26;33,32;1,45;-2,56;30,66;56,99;25,44;0,46;0,44;1,34;-0,61;1,53;-3,16;-1,52;-1,45;0,48;0,52;0,59;-3,77;;1.479.671,52;8,52;-0,27;0,12;670.817.307,01
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
